Collection,ministry,n_rows,merge_add_columns,needs_review,n_header_sigs,n_missing_header,sample_titles
"Village/Town-wise Primary Census Abstract, 2011 - Aurangabad District (schema 1)","Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",578,district,False,1,0,"Village/Town-wise Primary Census Abstract, 2011 - Kupwara District of JAMMU & KASHMIR | Village/Town-wise Primary Census Abstract, 2011 - Badgam District of JAMMU & KASHMIR | Village/Town-wise Primary Census Abstract, 2011 - Leh(Ladakh) District of JAMMU & KASHMIR"
"State/UT-wise Capacity for Female, Female Inmates & Female Occupancy Rate (schema 1)","Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,,True,2,0,"State/UT-wise Capacity for Female, Female Inmates & Female Occupancy Rate from 2018 to 2020 | State/UT-wise Number of Capacity for Female, Female Inmates & Female Occupancy Rate from 2020 to 2022"
State/UT-wise Number of Women Prisoners with Children Admitted during the year (schema 1),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,year,True,2,0,State/UT-wise Number of Women Prisoners with Children Admitted during the year 2020 | State/UT-wise Number of Women Prisoners with Children Admitted during the year 2021
State/UT-wise Convicts Confined in Major IPC Crimes (schema 2),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,,True,2,0,State/UT-wise Convicts Confined in Major IPC Crimes from 2018 to 2020 | State/UT-wise Convicts Confined in Major IPC Crimes from 2019-2021
State/UT-wise Undertrials Confined in Major IPC Crimes (schema 2),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,,True,2,0,State/UT-wise Undertrials Confined in Major IPC Crimes from 2018 to 2020 | State/UT-wise Undertrials Confined in Major IPC Crimes from 2019-2021
State/UT-wise Crimes Committed by Prison Staff against Prisoners (schema 2),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,year,True,2,0,State/UT-wise Crimes Committed by Prison Staff against Prisoners during 2020 | State/UT-wise Number of Crimes Committed by Prison Staff against Prisoners during 2022
"State & UT-wise Capacity of Jails, Inmate Population and Occupancy Rate at the end (schema 7)","Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,year,True,2,0,"State/UT-wise Capacity, Inmate Population and Occupancy Rate of Jails as on 31st December, 2020 | State/UT-wise Number of Capacity, Inmate Population and Occupancy Rate of Jails as on 31st December 2022"
"State & UT-wise Capacity of Jails, Inmate Population and Occupancy Rate at the end (schema 20)","Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,year,False,1,0,"State/UT-wise Capacity, Inmates Population and Occupancy Rate of Sub-Jails as on 31st December, 2020 | State/UT-wise Number of Capacity, Inmates Population and Occupancy Rate of Sub-Jails as on 31st December 2022"
"State & UT-wise Capacity of Jails, Inmate Population and Occupancy Rate at the end (schema 18)","Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,year,False,1,0,"State/UT-wise Capacity, Inmates Population and Occupancy Rate of Other Jails as on 31st December, 2020 | State/UT-wise Number of Capacity, Inmates Population and Occupancy Rate of Other Jails as on 31st December 2022"
State/UT-wise Missing and Traced Children (Below 18 Years) (schema 2),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,,True,2,0,State/UT-wise Missing and Traced Children (Below 18 Years) during 2021 | State/UT-wise Missing and Traced Children (Below 18 Years) during 2023
State/UT-wise All Uniform Police Personnel Injured on Duty (schema 2),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,,True,1,0,State/UT-wise All Uniform Police Personnel Killed on Duty during 2021 | State/UT-wise All Uniform Police Personnel Injured on Duty during 2021
Block wise Distribution of Dugwells by Status for 3rd census of minor irrigation scheme (2000-01) (schema 1),Ministry of Jal Shakti,2,,True,1,0,District wise Distribution of Dugwells by its type for 2nd census of minor irrigation schemes | District wise Distribution of Dugwells by type for 3rd census of minor irrigation scheme (2000-01)
Crime Head-wise Disposal of Persons Arrested under IPC Crimes (schema 2),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,,True,1,0,Crime Head-wise Disposal of Persons Arrested under IPC Crimes during 2021 | Crime Head-wise Disposal of Persons Arrested under SLL Crimes during 2021
Block wise Distribution of Dugwells according to The Farmers holding size for 3rd census of minor irrigation scheme (2000-01) (schema 1),Ministry of Jal Shakti,2,,True,1,0,District wise Distribution of Dugwells according to The Farmers holding size for 3rd census of minor irrigation scheme (2000-01) | District wise Distribution of Dugwells according to the holding size for 2nd census of minor irrigation schemes
State/UT-wise Education & Family Background of Juveniles Apprehended (schema 2),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,,True,1,0,State/UTs-wise Education & Family Background of Juveniles Apprehended during 2021 | State/UT-wise Number of Education and Family Background of Juveniles Apprehended during 2022
Block wise Potential Utilized through Lift Schemes for 3rd census of minor irrigation scheme (2000-01) (schema 2),Ministry of Jal Shakti,2,,True,1,0,Block wise Potential Utilized through Lift Schemes for 3rd census of minor irrigation scheme (2000-01) | Block wise Potential Utilized through Surface Flow Schemes for 3rd census of minor irrigation scheme (2000-01)
Crime Head-wise Court Disposal of Crime/Atrocities against Scheduled Tribe(s) (schema 7),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,,True,1,0,Crime Head-wise Court Disposal of Crime/Atrocities against Scheduled Caste(s) during 2021 | Crime Head-wise Court Disposal of Crime/Atrocities against Scheduled Tribe(s) during 2021
State/UT-wise Disposal of Persons Arrested for Crime/Atrocities against Scheduled Caste(s) (schema 4),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,,True,2,0,State/UTs-wise Disposal of Persons Arrested for Crime/Atrocities against Scheduled Caste(s) during 2021 | State/UTs-wise Disposal of Persons Arrested for Crime/Atrocities against Scheduled Tribe(s) during 2021
Block wise Potential Utilized through Deep Tubewells for 3rd census of minor irrigation scheme (2000-01) (schema 1),Ministry of Jal Shakti,2,,True,1,0,Block wise Potential Utilized through Deep Tubewells for 3rd census of minor irrigation scheme (2000-01) | Block wise Potential Utilized through Shallow Tubewells for 3rd census of minor irrigation scheme (2000-01)
Crime Head-wise Court Disposal of Crime/Atrocities against Scheduled Caste(s) in Metropolitan Cities (schema 19),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,,True,2,0,State/City-wise Police Disposal of Crime/Atrocities against Scheduled Caste(s) in Metropolitan Cities during 2021 | State/City-wise Police Disposal of Crime/Atrocities against Scheduled Tribe(s) in Metropolitan Cities during 2021
State/UT-wise Economic Offences (schema 3),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,,True,2,0,State/UTs-wise Economic Offences from 2019 to 2021 | State/UT-wise Economic Offences from 2021 to 2023
Block wise Distribution of surface lift schemes according to horsepower for 2nd census of minor irrigation schemes (1993-94) (schema 3),Ministry of Jal Shakti,2,,True,1,0,Block wise Distribution of Surface Flow Schemes according to ownership for 3rd census of minor irrigation scheme (2000-01) | Block wise Distribution of Surface Lift Schemes according to Ownership for 3rd census of minor irrigation scheme (2000-01)
Category-wise Items Recovered from Extremists/Insurgents/Terrorists,"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,year,False,1,0,Category-wise Items Recovered from Extremists/Insurgents/Terrorists during 2021 | Category-wise Number of Items Recovered from Extremists/Insurgents/Terrorists during 2022
State/UT-wise Environment Related Offences (schema 2),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,,True,2,0,State/UTs-wise Environment Related Offences from 2019 to 2021 | State/UT-wise Environment Related Offences from 2021 to 2023
Crime Head-wise Police Disposal of Environment Related Offences (schema 2),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,,True,2,0,Crime Head-wise Police Disposal of Environment Related Offences during 2021 | Crime Head-wise Police Disposal of Environment Related Offences during 2023
State/UT-wise Disposal of Cases and Persons Arrested for Crimes by Railway Protection Force (schema 2),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,year,False,2,0,State/UT-wise Disposal of Cases and Persons Arrested for Crimes by Railway Protection Force during 2021 | State/UT-wise Details of Disposal of Cases and Persons Arrested for Crimes by Railway Protection Force during 2022
State/UT-wise Murder Cases (schema 2),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,,True,2,0,State/UTs-wise Murder Cases from 2019 to 2021 | State/UT-wise Murder Cases from 2021 to 2023
Block wise Distribution of Deep Tubewells in use and their Potential Created/ Utilized according to Public and Private for 3rd census of minor irrigation scheme (2000-01) (schema 2),Ministry of Jal Shakti,2,,True,1,0,Block wise Distribution of Deep Tubewells in use and their Potential Created/ Utilized according to Public and Private for 3rd census of minor irrigation scheme (2000-01) | Block wise Distribution of Shallow Tubewells in use and their Potential Created/ Utilized according to Public and Private for 3rd census of minor irrigation scheme (2000-01)
"State/UT and Place of Occurrence-wise Number of Fire Accidents, Persons Injured and Died (schema 2)","Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,state,True,2,0,"Place of Occurrence-wise Number of Fire Accidents, Persons Injured and Died in India during 2021 | Cause-wise Place of Occurrence-wise Number of Fire Accidents, Persons Injured and Died in All India during 2022"
State/UT-wise Number of Inmates Admitted during the year (schema 1),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,year,True,2,0,State/UT-wise Number of inmates admitted during the year 2020 | State/UT-wise Number of Inmates Admitted during the year 2023
State/UT-wise Number of Jails Renovated/Expanded during the year (schema 1),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,year,True,2,0,State/UT-wise Number of Jails Renovated / Expanded during the year 2021 | State/UT-wise Number of Jails Renovated/Expanded during the year 2023
Crime Head-wise Disposal of Persons Arrested under Economic Offences (schema 2),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,year,False,1,0,Crime Head-wise Number of Disposal of Persons Arrested for Economic Offences during 2022 | Crime Head-wise Disposal of Persons Arrested for Economic Offences during 2023
Crime Head-wise Period of Special and Local Law (SLL) for Cases Pending Investigation,"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,,True,2,0,Crime Head-wise Period of Special and Local Law (SLL) for Cases Pending Investigation during 2022 | Crime Head-wise Period of Special and Local Laws (SLL) Cases Pending Investigation during 2023
Crime Head-wise Time taken for Submitting Chargesheet in Indian Penal Code (IPC) Crimes,"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,year,False,1,0,Crime Head-wise Time taken for Submitting Chargesheet in Indian Penal Code (IPC) Crimes during 2022 | Crime Head-wise Time taken for Submitting Chargesheet in Indian Penal Code (IPC) Crimes during 2023
Crime Head-wise Police Disposal of Crime Committed by Foreigners (schema 1),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,,True,2,0,Crime Head-wise Police Disposal of Crime Committed by Foreigners during 2022 | Crime Head-wise Police Disposal of Crime Committed by Foreigners during 2023
Crime Head-wise Court Disposal of Crime Committed by Foreigners (schema 1),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,,True,2,0,Crime Head-wise Court Disposal of Crime Committed by Foreigners during 2022 | Crime Head-wise Court Disposal of Crime Committed by Foreigners during 2023
Block wise Distribution of Deep Tubewells according to The Farmers holding size for 2nd Census of Minor Irrigation Schemes (1993-94) (schema 4),Ministry of Jal Shakti,2,,True,1,0,Block wise Distribution of Deep Tubewells according to The Farmers holding size for 2nd Census of Minor Irrigation Schemes (1993-94) | Block wise Distribution of Shallow Tubewells according to The Farmers holding size for 2nd Census of Minor Irrigation Schemes (1993-94)
Crime Head-wise Court Disposal of Crime/Atrocities against Scheduled Caste(s) in Metropolitan Cities (schema 18),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,,True,1,0,City-wise Number of Police Disposal of Crime/Atrocities against Scheduled Tribe(s) in Metropolitan Cities during 2022 | City-wise Number of Police Disposal of Crime/Atrocities against Scheduled Caste(s) in Metropolitan Cities during 2022
Block-wise Distribution of Deep Tubewells according to source of energy - 4th Minor Irrigation Census (2006-07) (schema 1),Ministry of Jal Shakti,2,,True,2,0,Block-wise Distribution of Deep Tubewells according to source of finance - 4th Minor Irrigation Census (2006-07) | Block-wise Distribution of Shallow Tubewells according to source of finance - 4th Minor Irrigation Census (2006-07)
